"strokeNumber","time","x","y"
"13","16592","186","12.04"
"13","16608","186","14.04"
"13","16630","187","17.04"
"13","16644","189","19.04"
"13","16660","191","22.04"
"13","16668","191","24.04"
"13","16674","192","25.04"
"13","16690","192","28.04"
"13","16704","192","29.04"
"13","16720","192","30.04"
"13","16734","188","30.04"
"13","16750","184","31.04"
"13","16764","182","31.04"
"14","16891","208","20.04"
"14","16911","206","19.04"
"14","16922","205","19.04"
"14","16938","204","20.04"
"14","16952","202","23.04"
"14","16968","201","27.04"
"14","17001","202","29.04"
"14","17019","209","27.04"
"14","17034","213","26.04"
"14","17050","214","26.04"
"14","17064","214","26.04"
"14","17080","214","27.04"
"14","17094","215","28.04"
"14","17103","215","28.04"
"15","17172","223","22.04"
"15","17192","223","22.04"
"15","17208","226","22.04"
"15","17222","232","22.04"
"15","17238","236","22.04"
"15","17252","237","22.04"
"15","17260","237","22.04"
"16","17390","226","15.04"
"16","17410","226","16.04"
"16","17424","229","32.04"
"16","17440","229","33.04"
"16","17448","230","33.04"
"17","17645","239","11.04"
"17","17646","240","11.04"
"17","17658","240","27.04"
"17","17672","240","27.04"
"17","17688","242","25.04"
"17","17702","245","22.04"
"17","17718","246","20.04"
"17","17751","247","20.04"
"17","17754","247","22.04"
"17","17770","248","24.04"
"17","17784","249","26.04"
"17","17800","250","27.04"
"17","17814","251","27.04"
"17","17822","252","27.04"
"18","17849","257","26.04"
"18","17860","258","26.04"
"18","17874","259","25.04"
"18","17890","260","24.04"
"18","17904","262","24.04"
"18","17920","265","23.04"
"18","17942","268","21.04"
"18","17958","268","18.04"
"18","17972","265","17.04"
"18","17988","261","17.04"
"18","18002","258","17.04"
"18","18018","256","19.04"
"18","18032","256","22.04"
"18","18048","256","25.04"
"18","18062","256","27.04"
"18","18078","257","29.04"
"18","18092","258","30.04"
"18","18108","260","31.04"
"18","18114","261","31.04"
"19","18233","277","13.04"
"19","18234","277","13.04"
"19","18250","277","15.04"
"19","18264","277","20.04"
"19","18280","277","26.04"
"19","18302","277","31.04"
"19","18318","277","32.04"
"19","18331","277","32.04"
"19","18348","277","29.04"
"19","18362","278","24.04"
"19","18378","280","21.04"
"19","18392","281","20.04"
"19","18408","281","20.04"
"19","18422","282","21.04"
"19","18438","288","22.04"
